,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,Market Cap,Volume Avg,Sector ID,Sector,IDs,Sub-industry
,GS,Goldman Sachs Group,reports,Financials,Diversified Financial Services,"New York, New York",,886982,75092410043,3013302,4,,,
,GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582,6765220001,3975110,1,,,
,GOOGL,Google Inc Class A,reports,Information Technology,Internet Software & Services,"Mountain View, California",,1288776,347285500050,2537083,7,,,
,GOOG,Google Inc Class C,reports,Information Technology,Internet Software & Services,"Mountain View, California",,1288776,347285500236,2303791,7,,,
,GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Materials,"Lake Forest, Illinois",6/30/1981,277135,15903169944,500237,6,,,
,HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,33889940019,19108149,3,,,
,HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,13220340021,1807372,1,,,
,HAR,Harman Int'l Industries,reports,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",,800459,8896289975,789319,1,,,
,HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,"Melbourne, Florida",,202058,7021242011,537311,7,,,
,HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766,16784620000,3010178,4,,,
,HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,46080,7009301023,1507631,1,,,
,HCA,HCA Holdings,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",,860730,29769840002,5781952,5,,,
,HCP,HCP Inc.,reports,Financials,REITs,"Long Beach, California",,765880,21718570011,3310818,4,,,
,HCN,"Health Care REIT, Inc.",reports,Financials,REITs,"Toledo, Ohio[5]",,766704,26852890020,2324040,4,,,
,HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[6]",,46765,6462849019,2523064,3,,,
,HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447,20177389973,3633964,3,,,
,HPQ,Hewlett-Packard,reports,Information Technology,Computer Hardware,"Palo Alto, California",12/31/1974,47217,66265379994,10412268,7,,,
,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Cobb County, Georgia",3/31/1988,354950,137607500028,5399776,1,,,
,HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",,773840,76527540022,3090487,6,,,
,HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",,48465,13503540014,710465,2,,,
,HSP,Hospira Inc.,reports,Health Care,Health Care Equipment & Services,"Lake Forest, Illinois",,1274057,10732479994,921756,5,,,
,HST,Host Hotels & Resorts,reports,Financials,REITs,"Bethesda, Maryland",,1070750,17335020003,6012369,4,,,
,HCBK,Hudson City Bancorp,reports,Financials,Banks,"Paramus, New Jersey",,921847,4827623996,2707372,4,,,
